recipe_id,url,doi,source_Bi,source_Bi_amount,source_Fe,source_Fe_amount,bi_fe_ratio,separate_hydrolysis,solvent1,solvent1_amount_ml,solvent2,solvent2_amount_ml,solv1_solv2_ratio,chelating_agent1,chelating_agent1_amount_ml,chelating_agent2,chelating_agent2_amount_ml,chelating_agent3,chelating_agent3_amount_ml,solv_chel_ratio,dehydrating_agent1,dehydrating_agent1_amount_ml,dehydrating_agent2,dehydrating_agent2_amount,solv_dehydr_ratio,surfactant,surfactant_amount,solv_surfactant_ratio,precursor_concentration,pH,substrate,subtrate_orientation,stirring_time_hr,stirring_temp_degC,age_days,age_temp_degC,low_coating_time_sec,low_coating_rpm,high_coating_time_sec,high_coating_rpm,dry_time_min,dry_degC,layer_prebake_time_min,layer_prebake_degC,layer_annealing_time_min,layer_annealing_degC,layers,final_prebake_time_min,final_prebake_degC,final_annealing_time_hr,final_annealing_degC,atmosphere,reported_impurities,space_group,main_XRD_peaks,thin_film_thickness_nm,Bi(NO3)3-5H2O,Fe(NO3)3-9H2O,Bi2O3,Bi_acetate,Fe_acetate,Fe_acetylacetonate,Fe_pentanedionate,Fe_citrate,separate_hydrolysis,2-methoxyethanol,ethylene_glycol,poly_EG,methylethylene_glycol,trimethylene_glycol,acetic_acid,glacial_acetic_acid,nitric_acid,citric_acid,acetic_anhydride,EG_acetic_ratio,ethanol,ethanolamine,diethanolamine,ethylenediamine,acetone,acetylacetone,ammonium_hydroxide,PEO-PPO-PEO,PVP,DMF,formamide,water,blank,validation_KC,validation_VB,Validation_Notes,Extraction_Notes,
1,https://link.springer.com/content/pdf/10.1007/s00339-016-9628-3.pdf,10.1007/s00339-016-9628-3,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,50,,,,,,,,,,,,,,,,,,,0.2,,Pt/Ti/SiO2/Si,Si(100),3,50,2,25,15,400,30,4000,,,5,280,5,550,12,,,0.333333333,550,O2,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,"RTA for intermediate annealing, assumed atmosphere for final annealing","coating, prebake (280 5min), anneal (550 5min) repeated 12 times; final annealing 550 20min; substrate impurities (might be Fe-rich phase?); Er, Ti doping",
2,https://link.springer.com/article/10.1007/s10853-014-8318-9,10.1007/s10853-014-8318-9,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,2_methoxyethanol,,,,,acetic_acid,,,,,,,acetic_acid_glacial,,,,,,,,0.2,,glass/ITO,,,,,,,,,,,,,,,,,,,0.75,550,N2,[],R3c,"(102), (104), (110)",350,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,Mn doping; solution prep described in 10.1063/1.3699021,
3,https://www.researchgate.net/profile/Muniyandi-Muneeswaran/publication/257583237_Effect_of_annealing_time_in_the_low-temperature_growth_of_BFO_thin_films_spin_coated_on_glass_substrates/links/0046353c642be5304a000000/Effect-of-annealing-time-in-the-low-temperature-growth-of-BFO-thin-films-spin-coated-on-glass-substrates.pdf,10.1007/s10854-013-1374-0,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,,,,,,,,,,,,,ethanolamine,,,,,glass,,1,25,,,,,30,3000,,,,,,,5,,,1,600,air,['amorphous'],,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,,"might want to delete, no pre-firing",
4,,10.1007/s10854-013-1374-0,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,,,,,,,,,,,,,ethanolamine,,,,,glass,,1,25,,,,,30,3000,,,5,350,,,5,,,1,600,air,['Bi2Fe4O9'],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,,coating and pre-fire repeated 5 times; used to compare with no pre-fire,
5,,10.1007/s10854-013-1374-0,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,,,,,,,,,,,,,ethanolamine,,,,,glass,,1,25,,,,,30,3000,,,5,350,,,5,,,3,500,air,['Bi2Fe4O9'],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,,coating and pre-fire repeated 5 times; impurity present for all firing times?,
6,,10.1007/s10854-013-1374-0,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,,,,,,,,,,,,,ethanolamine,,,,,glass,,1,25,,,,,30,3000,,,5,350,,,5,,,6,500,air,['Bi2Fe4O9'],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,,coating and pre-fire repeated 5 times; impurity present for all firing times?,
7,,10.1007/s10854-013-1374-0,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,,,,,,,,,,,,,ethanolamine,,,,,glass,,1,25,,,,,30,3000,,,5,350,,,5,,,9,500,air,['Bi2Fe4O9'],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,,coating and pre-fire repeated 5 times; impurity present for all firing times?,
8,https://link.springer.com/article/10.1007/s10854-013-1423-8,10.1007/s10854-013-1423-8,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,2_methoxyethanol,,,,,,,,,,,,acetic_anhydride,,,,3,ethanolamine,,,0.3,,glass/FTO,,2,25,,,,,15,4000,,,5,200,,550,several,,,,,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,,"Tb, Cr doping",
9,https://link.springer.com/article/10.1007/s10854-014-2361-9,10.1007/s10854-014-2361-9,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,,,,,,,,,,,,,ethanolamine,,,,,glass,,1,25,,,,,30,3000,,,5,350,,,5,,,9,500,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,,"Sm doping, coating and pre-firing repeating 5 times, impurity discrepancy",
10,https://link.springer.com/article/10.1007/s10854-014-2639-y,10.1007/s10854-014-2639-y,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,acetic_acid,,,,,,,acetic_acid_glacial,,,,,,,,0.2,1.5,glass/ITO,,,,,,,,40,3000,,,5,300,,,4,,,1,600,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,300 5min prebake; coating/prebake repeated 4 times,
